ticker,shortName,sector,current_rank,current_score,current_score_status,staged_rank,staged_score,staged_score_status,pushed_rank,pushed_score,pushed_score_status,rank_vs_staged,score_vs_staged,movement_vs_staged,staged_rank_vs_pushed,staged_score_vs_pushed,staged_movement_vs_pushed,rank_vs_pushed,score_vs_pushed,movement_vs_pushed
HERITGFOOD,HERITAGE FOODS LTD,Consumer Defensive,878,48.2,ranked,1063,45.8,ranked,1063,45.8,ranked,185,2.4,up,0,0,unchanged,185,2.4,up
WELENT,WELSPUN ENTERPRISES LTD.,Industrials,879,48.2,ranked,204,55.5,ranked,204,55.5,ranked,-675,-7.3,down,0,0,unchanged,-675,-7.3,down
ONEPOINT,ONE POINT ONE SOL LTD,Industrials,880,48.2,ranked,1073,45.6,ranked,1073,45.6,ranked,193,2.6,up,0,0,unchanged,193,2.6,up
BHARATWIRE,BHARAT WIRE ROPES LTD.,Basic Materials,881,48.2,ranked,823,49,ranked,823,49,ranked,-58,-0.8,down,0,0,unchanged,-58,-0.8,down
NYKAA,FSN E COMMERCE VENTURES,Consumer Cyclical,882,48.1,ranked,604,51.2,ranked,604,51.2,ranked,-278,-3.1,down,0,0,unchanged,-278,-3.1,down
FLUOROCHEM,GUJARAT FLUOROCHEM LTD,Basic Materials,883,48.1,ranked,1162,43.6,ranked,1162,43.6,ranked,279,4.5,up,0,0,unchanged,279,4.5,up
NESCO,NESCO LTD.,Industrials,884,48.1,ranked,605,51.2,ranked,605,51.2,ranked,-279,-3.1,down,0,0,unchanged,-279,-3.1,down
SUBROS,SUBROS LIMITED,Consumer Cyclical,885,48.1,ranked,514,52.1,ranked,514,52.1,ranked,-371,-4,down,0,0,unchanged,-371,-4,down
TCIEXP,TCI EXPRESS LIMITED,Industrials,886,48.1,ranked,894,48.2,ranked,894,48.2,ranked,8,-0.1,up,0,0,unchanged,8,-0.1,up
EKC,EVEREST KANTO CYLINDERLTD,Industrials,887,48.1,ranked,493,52.2,ranked,493,52.2,ranked,-394,-4.1,down,0,0,unchanged,-394,-4.1,down
